# ACTS Test Suite Generation: Thu Jul 22 15:09:57 JST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 16
# Maximum number of values per parameter: 200
# Number of configurations: 20015
a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
2,9,0,1,0,163,1,1,0,10,6,28,33,1,0,2
3,2,2,0,1,163,1,0,2,11,11,29,34,1,0,3
3,8,1,2,1,163,1,0,2,22,7,30,35,1,0,1
4,5,1,3,0,163,1,1,0,14,11,31,36,1,1,3
5,7,2,0,0,163,0,0,0,10,3,32,37,1,1,2
2,10,1,2,0,163,0,0,0,31,1,33,38,1,1,1
5,0,2,0,0,163,0,0,1,3,7,34,39,1,0,3
8,7,1,1,1,163,1,0,0,11,1,35,41,1,0,2
8,10,2,0,0,163,1,1,0,21,1,36,43,0,0,2
7,3,0,1,0,163,0,0,2,31,11,37,44,0,0,2
7,10,0,3,0,163,1,0,0,20,1,38,46,0,0,3
1,2,2,0,0,163,1,1,1,30,11,39,50,1,1,3
8,8,2,0,0,163,1,0,2,4,2,40,51,1,1,0
3,11,1,0,1,163,1,1,1,21,3,41,55,0,1,1
4,9,0,3,1,163,0,0,2,23,10,42,58,0,1,3
6,6,2,0,0,163,1,1,2,11,5,43,63,1,1,0
1,10,0,1,1,163,1,1,0,13,11,44,1,0,1,3
3,7,2,3,0,163,0,0,0,12,6,45,2,1,1,3
1,0,0,0,0,163,1,0,1,21,5,46,3,0,1,3
3,1,2,0,0,163,1,0,2,25,6,47,4,1,1,3
3,6,1,2,1,163,0,0,2,26,3,48,25,0,1,3
3,8,1,1,1,163,0,1,2,7,4,49,39,1,1,3
5,10,1,0,1,163,0,1,0,4,0,50,18,1,0,2
8,7,1,1,0,163,0,0,0,19,7,51,4,1,0,1
5,7,0,1,0,163,1,1,1,24,3,52,36,0,1,0
5,5,2,3,0,163,1,1,0,8,8,53,2,1,1,3
5,7,0,2,0,163,1,0,0,3,8,54,31,1,1,3
6,3,0,3,1,163,0,1,2,3,4,55,58,1,0,3
4,9,0,3,1,163,1,0,2,4,9,56,15,0,0,3
2,4,1,3,0,163,0,1,2,7,8,57,39,1,1,3
8,2,0,3,1,163,0,1,0,9,9,58,38,1,1,0
5,3,1,0,0,163,1,1,0,19,5,59,33,1,0,0
7,5,1,2,1,163,0,1,1,15,7,60,15,0,1,0
7,4,0,2,1,163,0,0,2,30,8,61,13,0,0,0
7,2,2,2,1,163,1,1,1,17,11,62,6,1,1,0
6,4,2,1,1,163,0,1,1,28,1,63,33,0,1,3
3,7,0,0,0,163,1,1,0,4,9,64,12,0,1,2
3,0,1,0,1,163,0,1,1,8,10,65,43,0,0,0
8,3,0,3,0,163,0,0,0,30,9,66,16,1,0,3
5,10,1,0,0,163,0,1,1,8,7,67,36,0,0,2
7,1,2,1,1,163,0,1,2,6,4,68,33,1,1,0
8,11,0,0,1,163,0,1,0,2,8,69,3,0,0,3
9,0,2,2,1,163,0,0,1,4,9,70,8,1,0,2
6,5,1,2,0,163,1,1,1,9,10,71,21,1,1,0
4,8,0,3,1,163,1,0,2,7,2,72,9,0,0,1
6,8,1,0,1,163,0,0,2,30,3,73,38,1,0,1
5,1,0,2,1,163,0,1,2,19,6,74,17,0,0,1
5,7,0,1,1,163,1,1,1,18,1,75,58,1,0,0
8,5,1,3,1,163,0,0,2,13,4,76,34,0,1,1
2,9,1,0,1,163,1,0,0,27,11,77,31,1,0,1
3,5,0,2,0,163,0,1,1,11,3,78,3,0,0,1
3,0,2,3,1,163,1,1,1,25,0,79,15,1,1,1
5,0,0,3,0,163,0,0,2,22,9,80,29,0,0,2
5,7,2,2,0,163,0,0,1,31,9,81,50,1,0,1
3,11,2,2,0,163,1,1,1,10,5,82,39,1,0,3
3,3,1,1,0,163,1,1,2,26,1,83,38,1,1,3
4,10,1,1,1,163,1,0,1,30,9,84,10,0,0,3
4,11,1,0,0,163,0,0,2,17,3,85,51,1,1,0
8,8,2,0,0,163,1,0,0,19,5,86,41,1,0,0
1,1,0,2,1,163,1,0,1,3,1,87,35,0,1,0
8,11,2,3,1,163,0,0,2,26,7,88,31,1,0,3
1,9,0,2,0,163,1,1,2,27,0,89,37,1,1,2
5,6,1,1,1,163,0,0,1,13,4,90,3,0,0,2
7,9,0,2,1,163,1,1,1,20,5,91,28,0,0,2
9,3,2,1,1,163,0,1,2,31,11,92,16,0,1,1
4,0,2,2,1,163,1,1,2,5,11,93,43,1,1,2
1,1,1,1,1,163,0,0,1,25,1,94,6,1,0,1
7,3,2,1,1,163,0,0,2,10,6,95,21,0,0,1
2,11,2,2,1,163,0,1,1,28,6,96,7,1,1,2
2,2,2,3,0,163,0,1,1,29,4,97,55,0,1,2
9,0,1,0,1,163,1,0,0,3,3,98,3,1,1,3
6,8,1,0,0,163,0,1,2,3,10,99,37,0,1,2
9,10,2,3,1,164,1,0,1,24,6,0,5,1,0,3
2,11,0,2,0,164,0,1,2,25,9,1,6,0,1,1
6,0,1,0,1,164,1,1,0,26,10,2,7,0,0,2
7,4,0,1,1,164,0,0,2,28,11,3,8,0,1,0
8,5,1,3,0,164,1,0,0,30,0,4,9,0,1,1
1,6,1,1,1,164,1,0,2,1,3,5,10,0,1,1
4,8,0,0,0,164,0,1,1,2,5,6,11,0,0,1
5,9,2,1,0,164,1,0,2,3,7,7,12,0,1,3
3,2,0,1,1,164,1,1,2,4,8,8,13,0,1,0
5,3,1,0,0,164,0,1,2,9,1,9,14,1,1,2
2,7,1,1,1,164,0,0,1,12,2,10,15,0,1,2
6,1,1,1,0,164,1,1,0,13,4,11,16,1,1,1
3,10,2,0,0,164,1,1,1,14,2,12,17,0,0,3
3,10,1,1,0,164,1,1,0,15,0,13,18,0,1,2
1,3,0,0,0,164,1,0,1,16,8,14,19,0,0,1
5,1,0,2,1,164,0,1,1,17,3,15,20,0,1,2
6,11,0,2,1,164,1,0,0,18,0,16,21,0,1,1
7,5,1,2,0,164,1,0,1,19,5,17,22,0,1,3
4,2,2,1,1,164,0,1,0,20,2,18,23,1,1,1
5,0,2,0,0,164,0,0,1,21,5,19,24,1,0,1
7,5,0,0,0,164,0,1,0,23,8,20,25,1,1,2
2,4,0,1,0,164,0,0,2,27,11,21,26,0,0,1
5,2,1,2,1,164,1,0,2,29,3,22,27,0,1,1
3,7,1,3,0,164,1,1,1,31,10,23,28,0,1,1
5,10,2,1,0,164,0,0,2,5,9,24,29,0,0,0
3,1,0,2,0,164,0,0,0,6,10,25,30,0,1,2
2,1,0,1,1,164,1,1,1,7,2,26,31,1,0,1
7,2,2,2,1,164,0,0,2,8,7,27,32,1,1,0
1,6,1,0,1,164,1,0,1,10,8,28,33,1,1,1
4,1,2,1,0,164,0,0,2,11,11,29,34,1,0,2
9,2,1,2,0,164,1,0,1,22,8,30,35,1,0,3
5,6,1,3,1,164,0,0,0,24,11,31,36,0,1,1
3,8,0,0,1,164,1,1,1,1,3,32,37,0,0,3
9,1,0,2,1,164,1,1,2,20,1,33,38,0,0,2
9,6,0,3,1,164,0,0,1,23,1,34,39,1,1,1
1,4,2,1,0,164,1,1,0,1,1,35,41,0,1,2
2,9,0,1,0,164,0,0,0,5,9,36,43,1,0,1
2,10,0,0,0,164,1,1,2,6,7,37,44,0,0,1
3,0,1,3,1,164,1,1,0,26,6,38,46,1,0,2
6,2,0,1,1,164,1,0,2,15,7,39,50,0,1,3
9,6,0,0,0,164,0,1,1,9,4,40,51,1,0,3
4,11,2,0,0,164,1,1,2,10,3,41,55,1,0,3
3,11,2,3,0,164,0,1,2,17,5,42,58,1,1,1
5,3,0,2,0,164,1,1,2,23,10,43,63,0,0,3
7,8,2,3,1,164,0,1,1,7,10,44,1,1,1,1
3,11,2,1,0,164,1,1,1,28,0,45,2,1,0,3
5,1,1,3,0,164,0,1,1,17,7,46,3,1,1,1
1,9,2,2,1,164,1,1,2,8,11,47,4,0,1,2
8,6,2,1,1,164,1,1,0,2,1,48,33,0,0,0
4,9,1,3,1,164,1,1,1,23,6,49,9,0,1,1
2,3,2,2,1,164,0,0,2,6,1,50,13,0,1,1
1,7,2,1,1,164,0,0,2,24,10,51,1,1,0,1
2,0,0,3,1,164,1,0,2,31,8,52,55,0,1,2
6,3,1,1,1,164,1,1,0,8,4,53,22,0,1,1
5,1,1,3,0,164,0,0,1,21,7,54,30,0,1,2
8,4,1,0,0,164,0,0,1,15,10,55,9,1,0,2
2,4,1,2,1,164,0,0,1,15,4,56,9,0,1,3
8,7,1,0,0,164,1,0,0,17,11,57,18,0,0,2
6,9,2,2,0,164,1,1,0,12,5,58,26,1,0,3
3,9,1,1,0,164,0,0,0,20,8,59,13,1,1,3
2,9,2,0,1,164,0,0,2,7,1,60,50,1,1,0
2,10,2,1,1,164,0,1,0,24,8,61,38,1,0,2
4,2,0,2,0,164,0,0,1,20,6,62,4,0,1,3
2,5,1,0,0,164,1,0,1,13,9,63,41,0,0,3
1,9,2,1,1,164,0,0,2,13,0,64,19,0,1,0
9,5,0,0,1,164,0,1,0,19,7,65,12,1,0,1
5,7,1,1,1,164,0,1,0,22,1,66,1,0,0,1
5,1,0,2,0,164,0,1,2,31,6,67,38,0,1,3
7,7,1,1,1,164,1,0,1,31,2,68,51,1,1,1
6,5,0,2,0,164,0,0,1,2,4,69,17,1,1,3
4,1,0,2,1,164,0,0,1,14,9,70,9,1,1,2
8,9,2,2,0,164,0,1,0,28,1,71,18,1,0,0
6,5,1,0,1,164,1,0,1,14,1,72,9,1,1,2
6,10,1,3,0,164,0,0,0,2,0,73,35,0,0,3
9,10,2,2,0,164,1,1,2,11,4,74,3,1,1,2
6,0,2,2,1,164,1,0,0,31,3,75,30,0,0,2
9,9,1,2,1,164,0,0,2,31,11,76,25,1,1,1
6,10,1,3,0,164,0,0,1,19,10,77,34,0,0,1
9,11,1,2,1,164,1,1,0,29,1,78,11,0,1,3
9,11,2,3,0,164,0,0,0,30,0,79,10,0,0,2
3,6,1,0,0,164,1,0,1,11,2,80,33,0,0,2
1,6,0,0,0,164,1,1,1,14,7,81,32,0,0,3
3,5,1,2,1,164,1,1,0,20,2,82,51,0,1,3
4,5,0,0,0,164,0,1,2,20,11,83,26,0,0,3
3,7,2,3,0,164,1,1,0,16,11,84,7,1,1,2
3,11,1,0,0,164,0,1,0,2,7,85,3,0,0,2
3,10,0,0,1,164,1,1,1,20,3,86,44,0,1,3
4,10,0,1,0,164,0,1,1,14,0,87,19,0,0,2
7,6,1,1,0,164,1,0,2,8,11,88,35,1,0,3
4,1,0,3,0,164,1,1,0,18,6,89,17,1,1,0
6,0,2,0,1,164,1,0,1,27,6,90,17,0,0,0
2,7,1,2,1,164,0,0,2,18,4,91,50,1,0,3
2,1,0,2,0,164,1,1,1,25,6,92,58,1,0,0
4,9,1,2,1,164,1,1,2,1,0,93,18,1,0,2
1,7,0,1,1,164,0,0,2,16,1,94,5,0,0,0
4,3,2,2,1,164,1,0,1,9,1,95,63,0,0,0
8,11,0,2,1,164,0,1,2,7,11,96,22,0,0,1
7,9,2,2,0,164,0,0,2,8,10,97,1,1,1,3
3,10,2,1,0,164,1,1,0,21,4,98,12,1,1,2
8,10,1,1,1,164,1,0,2,26,8,99,43,1,0,2
9,4,2,3,1,165,1,0,1,24,6,0,5,1,0,3
2,10,0,2,0,165,0,1,2,25,9,1,6,0,1,1
6,11,1,0,0,165,1,0,0,26,10,2,7,0,0,2
7,0,2,1,0,165,1,0,0,28,11,3,8,1,1,0
8,2,1,3,1,165,1,1,2,30,0,4,9,1,0,2
1,3,1,3,0,165,1,1,1,1,3,5,10,1,1,1
4,5,0,0,0,165,0,0,2,2,5,6,11,0,1,2
5,6,0,3,0,165,0,0,1,3,7,7,12,1,0,2
3,8,2,3,1,165,0,1,0,4,8,8,13,0,1,1
5,9,2,3,1,165,1,1,0,9,1,9,14,1,1,3
1,1,2,2,1,165,0,1,2,12,2,10,15,0,0,0
6,7,2,2,0,165,1,0,2,13,4,11,16,0,0,3
7,2,1,2,0,165,1,0,0,14,4,12,17,0,0,1
5,1,0,0,1,165,0,0,2,15,5,13,18,1,1,3
4,3,1,2,0,165,0,1,2,16,8,14,19,0,0,2
9,11,1,3,0,165,0,0,1,17,6,15,20,1,1,2
5,3,1,2,0,165,0,0,2,18,6,16,21,0,1,0
3,3,1,1,1,165,1,1,0,19,2,17,22,0,0,3
4,4,1,0,1,165,0,1,0,20,1,18,23,1,0,0
2,7,0,1,0,165,0,0,1,21,8,19,24,1,1,3
9,9,1,0,0,165,0,1,1,23,9,20,25,0,1,3
2,7,0,1,0,165,1,0,2,27,1,21,26,1,0,2
1,3,2,3,1,165,1,0,1,29,2,22,27,0,0,0
6,6,0,2,1,165,1,0,2,31,8,23,28,0,0,3
3,8,2,0,0,165,0,1,2,5,5,24,29,0,0,2
1,10,2,0,1,165,0,1,1,6,8,25,30,0,1,3
8,10,1,3,1,165,1,0,1,7,3,26,31,0,0,1
1,10,1,1,1,165,1,1,2,8,1,27,32,1,0,2
8,8,2,0,0,165,1,0,0,10,7,28,33,0,1,1
4,6,1,3,0,165,1,0,1,11,7,29,34,0,0,0
5,10,2,0,1,165,0,0,1,22,11,30,35,0,1,1
6,8,0,2,0,165,1,0,1,18,3,31,36,0,1,0
9,4,1,1,1,165,1,1,0,15,4,32,37,1,1,2
9,1,0,2,0,165,0,1,1,5,7,33,38,1,1,1
2,4,2,1,1,165,1,1,2,18,2,34,39,0,0,0
5,2,1,0,1,165,1,1,2,29,6,35,41,1,1,2
4,7,0,3,0,165,0,0,2,7,6,36,43,1,0,3
8,7,0,0,0,165,0,1,2,16,11,37,44,0,0,1
3,10,2,0,1,165,0,0,1,29,11,38,46,0,1,2
6,2,1,1,0,165,1,1,2,19,0,39,50,0,1,1
3,9,1,1,1,165,0,1,0,12,11,40,51,0,0,1
6,10,2,0,0,165,1,0,1,2,3,41,55,1,1,3
6,7,2,1,1,165,0,0,1,15,8,42,58,0,1,1
2,10,2,3,1,165,1,1,2,2,8,43,63,1,0,3
7,10,1,3,0,165,1,1,0,13,9,44,1,0,0,1
3,9,1,0,1,165,0,0,1,20,5,45,2,1,1,1
3,4,0,3,1,165,1,1,2,22,2,46,3,0,0,3
2,3,0,3,1,165,1,1,0,11,5,47,4,0,1,1
4,10,2,1,0,165,1,0,0,3,9,48,13,0,1,2
6,6,2,3,0,165,1,1,2,4,7,49,63,1,0,0
2,11,2,3,1,165,0,0,0,13,11,50,20,0,0,1
4,4,0,0,0,165,1,1,2,3,11,51,3,0,1,1
5,10,1,0,1,165,1,1,0,4,5,52,31,0,1,0
9,2,2,1,1,165,0,0,2,8,3,53,14,0,0,0
8,0,2,0,0,165,1,0,2,14,10,54,17,1,1,0
9,5,2,3,0,165,1,0,0,13,6,55,43,0,1,2
2,2,1,2,1,165,0,1,2,27,4,56,6,0,1,1
4,10,2,2,0,165,1,1,1,14,2,57,39,0,0,1
3,10,1,0,0,165,1,1,1,29,3,58,18,0,1,3
6,4,0,0,0,165,1,1,0,8,10,59,9,0,1,0
1,9,0,2,1,165,0,1,0,31,3,60,32,1,1,1
8,9,1,1,1,165,0,1,1,3,8,61,39,0,1,1
5,5,1,1,1,165,1,0,1,27,2,62,31,1,0,2
9,10,0,2,0,165,0,0,1,15,4,63,18,0,0,0
2,1,2,0,1,165,1,0,1,11,4,64,30,1,1,1
6,5,2,3,0,165,1,0,1,26,10,65,55,0,1,1
3,1,0,2,0,165,0,0,2,16,1,66,58,1,0,1
1,2,2,0,1,165,0,1,1,30,3,67,3,0,0,0
4,1,0,2,1,165,0,0,2,15,5,68,32,1,1,3
6,6,1,0,0,165,0,0,2,10,11,69,26,1,0,0
4,10,1,1,1,165,0,0,2,14,4,70,30,0,0,0
7,1,2,2,0,165,0,0,2,30,10,71,13,0,0,0
2,2,1,1,1,165,1,1,0,30,3,72,28,1,0,3
1,3,2,2,0,165,1,0,0,22,4,73,16,1,0,0
8,9,0,2,0,165,1,0,2,17,7,74,41,1,1,2
1,9,0,0,0,165,0,0,2,1,11,75,36,1,1,1
8,5,0,2,0,165,1,1,2,20,5,76,22,1,0,0
4,11,2,0,1,165,1,1,2,8,5,77,19,1,1,2
7,11,1,2,1,165,1,1,2,25,4,78,13,1,0,0
1,2,0,2,0,165,0,1,0,31,3,79,51,0,0,3
8,9,2,2,0,165,1,1,1,13,3,80,24,1,0,3
8,8,2,3,1,165,0,0,1,19,10,81,43,0,1,3
1,8,2,3,0,165,1,1,1,11,2,82,30,0,1,1
5,2,1,0,0,165,0,0,0,15,9,83,32,1,1,0
1,4,2,3,0,165,1,1,2,21,1,84,44,1,1,3
7,9,2,1,1,165,0,0,0,23,4,85,50,1,0,3
8,7,1,2,0,165,0,1,2,11,11,86,14,0,1,1
6,11,2,1,0,165,0,0,2,21,3,87,38,0,0,0
6,2,0,1,0,165,0,0,1,11,6,88,9,1,1,3
4,6,2,1,0,165,1,0,1,25,2,89,21,0,0,3
2,6,0,2,1,165,0,1,1,3,8,90,1,1,0,3
6,0,2,0,1,165,0,1,1,8,5,91,46,1,1,0
9,10,2,1,1,165,0,1,1,24,9,92,3,1,1,2
6,9,0,0,1,165,0,1,2,10,0,93,1,1,1,0
6,11,0,0,1,165,1,0,1,6,9,94,55,1,0,0
3,1,2,1,0,165,0,0,0,17,2,95,11,1,1,3
3,10,0,0,0,165,1,1,0,31,0,96,23,1,1,0
6,6,0,2,0,165,1,0,1,6,8,97,58,1,0,1
6,7,2,1,0,165,1,1,1,30,10,98,31,0,0,2
2,6,0,3,1,165,0,0,2,26,5,99,39,1,0,3
9,10,2,3,1,166,1,0,1,24,6,0,5,1,0,3
2,11,0,2,0,166,0,1,2,25,9,1,6,0,1,1
6,0,1,0,0,166,1,0,0,26,10,2,7,0,1,2
7,4,0,1,0,166,0,1,0,28,11,3,8,1,1,0
8,5,1,3,0,166,1,1,2,30,0,4,9,1,1,0
1,6,2,2,1,166,1,1,1,1,3,5,10,0,1,2
4,8,0,2,1,166,0,0,1,2,5,6,11,0,1,3
5,9,0,3,1,166,1,0,2,3,7,7,12,1,0,3
3,2,2,3,0,166,1,1,0,4,8,8,13,0,0,2
7,3,2,0,0,166,0,1,2,9,1,9,14,1,1,2
3,7,1,3,1,166,1,0,0,12,2,10,15,0,0,2
2,1,2,1,1,166,1,1,2,13,4,11,16,1,0,1
3,2,2,1,0,166,1,0,2,14,0,12,17,1,1,2
7,9,2,0,0,166,0,1,1,15,8,13,18,1,1,2
5,0,1,2,1,166,0,0,2,16,5,14,19,1,0,1
8,8,2,2,1,166,0,0,1,17,5,15,20,1,0,1
9,1,2,2,1,166,1,0,1,18,11,16,21,0,0,3
7,10,0,2,1,166,0,0,0,19,7,17,22,0,0,1
6,3,2,3,1,166,1,1,0,20,7,18,23,1,1,0
1,10,1,1,0,166,0,0,2,21,9,19,24,1,1,1
1,3,2,0,0,166,1,1,1,23,11,20,25,0,0,0
9,3,1,3,1,166,1,0,0,27,8,21,26,0,1,0
6,0,2,2,1,166,0,1,0,29,8,22,27,1,0,2
7,8,0,3,0,166,0,0,1,31,3,23,28,0,0,0
9,4,2,3,0,166,0,0,0,5,3,24,29,1,0,1
9,3,2,2,1,166,1,0,2,6,8,25,30,1,0,0
8,0,1,1,0,166,0,1,0,7,6,26,31,1,1,2
3,9,2,3,0,166,1,0,2,8,5,27,32,1,1,2
3,6,2,0,1,166,0,1,2,10,1,28,33,1,1,2
5,6,2,2,0,166,0,1,0,11,8,29,34,1,1,1
6,2,0,2,1,166,0,1,0,22,1,30,35,1,0,3
1,8,0,2,1,166,1,0,0,11,5,31,36,1,1,1
4,2,2,3,1,166,1,0,0,31,5,32,37,1,0,2
5,3,2,1,0,166,1,1,2,8,0,33,38,0,1,3
7,3,1,2,1,166,0,1,0,25,0,34,39,0,0,2
7,4,2,1,0,166,0,1,2,10,11,35,41,1,0,0
6,9,1,1,0,166,1,1,1,10,0,36,43,0,0,0
3,3,1,2,1,166,1,0,2,12,1,37,44,1,0,0
4,10,0,3,0,166,0,0,1,12,4,38,46,0,1,1
4,7,0,1,1,166,0,1,2,5,0,39,50,0,1,1
6,9,0,3,1,166,0,1,2,17,1,40,51,0,0,0
8,0,1,0,1,166,0,0,1,30,1,41,55,1,1,1
4,3,1,3,1,166,0,1,1,25,7,42,58,0,1,0
1,6,0,3,0,166,1,1,0,1,11,43,63,0,1,0
5,8,0,1,1,166,1,1,2,14,8,44,1,0,1,3
4,4,2,2,0,166,0,0,0,11,1,45,2,0,0,2
7,11,1,2,1,166,0,0,1,4,2,46,3,0,0,2
9,11,1,0,0,166,1,0,2,3,10,47,4,0,0,3
1,4,1,2,1,166,0,1,0,3,10,48,17,1,0,3
8,0,0,3,1,166,0,0,2,25,7,49,38,1,1,2
5,5,0,3,0,166,1,0,1,25,3,50,36,1,1,3
2,3,1,0,0,166,0,1,2,11,4,51,43,0,1,0
2,0,1,1,1,166,1,0,2,8,2,52,12,1,1,1
8,9,2,0,1,166,0,1,2,10,11,53,18,1,1,0
2,10,1,0,0,166,0,1,1,22,6,54,21,1,0,2
7,8,0,0,1,166,1,0,2,11,6,55,30,0,0,3
4,6,1,3,0,166,0,1,1,10,1,56,27,0,1,1
9,1,0,3,0,166,1,0,2,1,3,57,29,1,1,1
1,5,1,1,0,166,1,0,1,25,5,58,11,0,1,2
5,4,0,1,0,166,0,1,2,28,5,59,4,0,1,0
2,9,0,2,1,166,1,0,2,6,1,60,63,0,0,2
5,7,1,0,0,166,0,1,1,12,11,61,24,1,1,1
6,1,0,3,0,166,0,0,0,28,5,62,17,0,1,3
3,0,0,0,0,166,0,1,2,25,2,63,28,0,0,3
5,11,2,3,0,166,0,0,0,13,7,64,58,1,0,2
8,9,0,1,0,166,0,0,2,11,8,65,20,0,1,2
8,1,0,0,0,166,1,1,0,1,7,66,19,0,1,0
5,6,1,3,1,166,1,0,1,29,2,67,27,1,0,1
1,11,2,1,0,166,0,0,2,9,10,68,14,0,1,0
1,11,2,1,1,166,1,1,0,28,10,69,38,0,0,0
7,5,1,1,0,166,0,1,1,1,11,70,2,0,0,3
7,9,0,2,1,166,0,1,1,26,6,71,4,1,1,3
6,5,2,0,0,166,0,1,2,4,2,72,5,0,1,1
6,7,2,3,1,166,1,1,0,27,9,73,6,0,1,0
2,8,0,2,1,166,0,0,1,17,6,74,13,0,1,3
3,2,2,0,0,166,0,1,0,31,3,75,32,1,0,3
3,11,1,1,0,166,1,0,1,22,2,76,13,0,0,2
6,1,1,3,0,166,0,0,1,4,6,77,44,0,0,3
9,11,0,1,1,166,0,0,2,2,0,78,7,1,1,2
4,4,0,0,1,166,0,1,0,18,3,79,24,0,0,0
1,9,1,3,1,166,0,0,1,5,3,80,36,0,0,2
4,8,0,2,1,166,0,1,1,19,8,81,14,1,1,1
9,3,0,2,1,166,1,0,2,2,3,82,6,0,0,0
4,7,0,3,1,166,1,1,0,24,0,83,41,0,1,0
5,11,1,0,0,166,0,1,1,31,7,84,22,1,1,3
2,1,2,1,1,166,1,0,0,1,7,85,14,0,1,2
8,1,1,2,1,166,1,0,0,23,7,86,1,0,0,3
6,3,1,2,1,166,1,1,2,27,4,87,51,1,1,0
1,1,2,1,1,166,1,1,1,23,0,88,36,0,0,2
1,1,2,0,0,166,0,1,0,2,9,89,24,1,1,1
9,8,2,1,0,166,1,1,0,28,9,90,15,1,1,2
3,0,1,3,1,166,0,1,1,6,4,91,22,1,1,1
5,0,0,0,1,166,1,0,1,14,7,92,31,1,0,1
3,2,0,3,0,166,0,1,0,2,4,93,30,0,1,0
8,8,2,3,0,166,0,0,1,20,9,94,13,1,1,1
2,1,2,2,0,166,1,0,1,8,10,95,5,1,1,0
6,10,1,2,1,166,0,0,0,13,2,96,28,1,1,3
5,4,2,0,1,166,1,0,2,14,2,97,16,0,1,2
6,8,1,3,0,166,1,0,0,13,4,98,8,0,0,2
5,4,0,0,1,166,0,1,0,3,10,99,29,0,0,0
9,4,2,3,1,167,1,0,1,24,6,0,5,1,0,3
2,10,0,2,0,167,0,1,2,25,9,1,6,0,1,1
6,11,1,0,1,167,1,1,0,26,10,2,7,0,1,2
7,0,1,1,0,167,0,1,2,28,11,3,8,1,0,0
8,2,2,0,1,167,1,0,0,30,0,4,9,0,0,1
1,3,2,0,0,167,0,0,1,1,3,5,10,1,0,1
4,5,0,2,0,167,1,1,0,2,5,6,11,1,0,0
5,6,1,3,0,167,1,0,2,3,7,7,12,0,0,2
3,8,0,3,1,167,0,1,2,4,8,8,13,1,1,1
4,9,0,2,1,167,1,0,0,9,1,9,14,0,0,0
7,1,2,3,1,167,0,1,0,12,2,10,15,1,0,0
3,7,0,3,1,167,0,0,2,13,4,11,16,0,0,1
3,11,2,0,0,167,1,1,1,14,9,12,17,0,0,2
8,7,1,1,0,167,0,0,2,15,8,13,18,1,0,1
4,9,2,1,1,167,1,1,2,16,9,14,19,1,1,0
7,1,0,0,0,167,0,1,2,17,0,15,20,0,0,3
5,4,2,0,0,167,1,1,0,18,7,16,21,0,1,1
3,7,2,1,0,167,0,1,0,19,11,17,22,1,0,2
1,8,2,0,1,167,1,1,0,20,10,18,23,0,0,3
3,8,0,1,0,167,0,0,0,21,0,19,24,0,1,1
3,1,0,3,1,167,0,1,0,23,6,20,25,1,1,1
2,4,2,1,1,167,1,0,2,27,8,21,26,1,1,1
8,0,1,0,1,167,1,1,1,29,1,22,27,1,1,0
6,1,0,3,1,167,1,0,2,31,9,23,28,0,0,3
9,7,1,2,0,167,1,1,0,5,8,24,29,1,1,0
8,1,0,0,0,167,0,1,1,6,6,25,30,1,0,3
6,3,1,0,1,167,0,0,0,7,8,26,31,1,1,1
3,10,0,1,1,167,0,1,2,8,5,27,32,0,0,0
4,8,2,2,0,167,0,0,1,10,6,28,33,0,0,3
1,8,1,2,0,167,0,0,1,11,1,29,34,0,0,0
2,10,1,3,1,167,0,0,0,22,5,30,35,1,0,2
3,6,1,0,0,167,1,1,1,22,8,31,36,1,1,2
7,2,1,3,0,167,0,1,2,24,10,32,37,1,0,3
9,1,2,2,1,167,0,1,2,18,10,33,38,1,0,2
1,5,0,3,0,167,1,0,1,22,1,34,39,1,0,2
3,6,0,0,1,167,1,0,1,2,4,35,41,0,1,0
7,9,2,3,1,167,0,0,0,18,2,36,43,1,0,0
3,3,0,0,0,167,1,1,0,30,10,37,44,1,1,0
9,0,2,2,0,167,0,1,1,15,9,38,46,0,1,2
3,11,2,0,0,167,0,1,0,15,7,39,50,0,1,0
6,3,2,1,1,167,1,1,0,15,2,40,51,0,1,3
5,0,2,1,1,167,1,1,1,8,6,41,55,1,0,0
7,4,0,1,0,167,1,1,1,11,0,42,58,1,1,0
5,8,2,3,1,167,0,1,0,21,6,43,63,1,1,0
1,4,1,2,0,167,0,1,1,9,2,44,1,0,0,3
4,4,2,3,0,167,0,0,2,5,3,45,2,0,1,1
3,4,1,3,1,167,1,1,0,20,3,46,3,0,0,1
4,11,0,0,1,167,1,1,0,15,11,47,4,1,0,3
3,8,0,0,0,167,1,1,0,16,0,48,17,0,1,2
2,9,1,0,1,167,0,0,0,30,6,49,17,0,1,2
6,9,0,0,0,167,0,1,2,1,3,50,8,1,1,1
5,10,2,1,1,167,0,1,1,24,2,51,34,1,0,1
2,2,0,0,1,167,1,1,0,16,7,52,24,0,1,0
9,3,1,0,0,167,0,1,0,18,9,53,9,0,0,1
6,9,2,0,0,167,0,1,1,14,1,54,5,0,1,0
8,8,0,3,0,167,0,0,2,2,4,55,8,1,1,0
8,4,0,3,0,167,0,0,0,16,9,56,11,0,1,2
6,3,0,1,1,167,1,1,0,2,2,57,50,1,1,0
8,9,1,0,0,167,1,0,2,11,9,58,15,1,0,2
9,0,2,1,0,167,1,1,2,11,7,59,14,0,1,3
2,9,2,3,0,167,1,1,1,12,1,60,14,0,1,0
